PLATE MJD FIBER PLUG_RA PLUG_DEC Z
3588 55184 472 9.220841 -0.3660933 -0.00092127
3588 55184 478 8.975703 -0.2314032 2.7938
3588 55184 482 8.911123 -0.4056138 2.7964
3588 55184 492 8.811627 -0.1204726 1.5082
3588 55184 494 8.730076 0.047118 1.6989
3588 55184 500 8.852001 0.1154804 -0.0006975
3588 55184 504 8.663854 0.4033447 -0.00038493
3588 55184 509 8.659364 0.08528407 2.3327
3588 55184 510 8.609287 0.433904 3.2306
3588 55184 515 8.644307 0.255756 0.56827
3588 55184 518 8.578622 0.2040962 3.0343
3588 55184 530 9.021933 0.2718657 2.9394
3588 55184 531 8.840055 0.328047 2.3612
3588 55184 532 8.990856 0.383562 2.2352
3588 55184 534 8.888766 0.5125278 -0.00054342
3588 55184 538 9.035875 0.1499881 -0.00053355
3588 55184 539 8.839557 0.6126788 0.00040516
3588 55184 542 9.127879 1.089075 2.4532
3588 55184 544 9.154983 1.054023 2.2872
3588 55184 546 9.06282 1.122631 0.85309
3588 55184 554 9.191953 1.076411 -0.00038355
3588 55184 558 9.209075 0.9114928 0.3864
3588 55184 562 9.119364 0.69424 0.61566
3588 55184 568 9.258901 0.5582944 2.3602
3588 55184 570 9.285266 0.4821758 3.025
3588 55184 588 9.441873 0.9119746 1.6275
3588 55184 590 9.399533 0.8533583 -0.00010226
3588 55184 594 9.240145 0.9551987 -0.00045461
3588 55184 598 9.311538 0.8375465 0.56361
3588 55184 600 9.340486 0.7608391 0.5047
3588 55184 608 9.475507 0.7385407 2.2795
3588 55184 612 9.508612 0.3716514 1.1825
3588 55184 614 9.378547 0.721313 1.7381
3588 55184 616 9.412708 0.145098 -0.00084888
3588 55184 624 9.473523 1.078917 1.0905
3588 55184 626 9.614401 1.167405 0.88683
3588 55184 630 9.56805 0.8738894 -3.9577e-05
3588 55184 646 9.514324 0.4027071 0.26332
3588 55184 648 9.591519 0.4538097 2.8359
3588 55184 654 9.614487 0.2835635 2.4068
3588 55184 656 9.535453 0.2268081 -0.0012233
3588 55184 657 9.595606 0.2441712 2.0349
3588 55184 670 9.598954 0.9800926 0.70686
3588 55184 674 9.738322 0.9421128 1.1081
3588 55184 676 9.772223 1.061781 1.1545
